t,x,f,X_fft,X_dft
0,2,0,0.00000000000000011743110955023792,0.000000000000000087704383434289
0.00048828125,1.999712929250036,0.125,0.00000000000000011289101668520784,0.00000000000000007521926884247879
0.0009765625,1.9988518020894426,0.25,0.0000000000000001113784230497503,0.00000000000000007105930611208477
0.00146484375,1.9974168737601516,0.375,0.0000000000000001064062770829184,0.00000000000000011207253975498326
0.001953125,1.9954085695788395,0.5,0.00000000000000009149333996996639,0.00000000000000013844175586572277
0.00244140625,1.9928274848071428,0.625,0.00000000000000011676853105531674,0.0000000000000001226420897779254
0.0029296875,1.9896743844700158,0.75,0.0000000000000001247010427172932,0.0000000000000001470344098967614
0.00341796875,1.9859502031222873,0.875,0.00000000000000012992053549692045,0.00000000000000011730912410317356
0.00390625,1.981656044563491,1,0.00000000000000013918661946152536,0.00000000000000006157913280917663
0.00439453125,1.9767931815010558,1.125,0.000000000000000131785332084025,0.00000000000000014329685048482263
0.0048828125,1.9713630551619659,1.25,0.00000000000000013462289654645965,0.00000000000000016946951665252164
0.00537109375,1.965367274853008,1.375,0.00000000000000014573226978316961,0.00000000000000003406723669662671
0.005859375,1.9588076174697449,1.5,0.0000000000000001657416965676511,0.00000000000000005807297109699862
0.00634765625,1.9516860269543692,1.625,0.00000000000000017611889159025757,0.0000000000000002144213682279777
0.0068359375,1.9440046137026066,1.75,0.0000000000000001882635825631726,0.00000000000000009005188000739886
0.00732421875,1.9357656539198536,1.875,0.00000000000000021461510270768649,0.00000000000000004966863458267402
0.0078125,1.9269715889267527,2,0.000000000000000251065818443055,0.00000000000000020829982640553217
0.00830078125,1.9176250244144208,2.125,0.0000000000000003047335697669079,0.0000000000000005700247444859489
0.0087890625,1.9077287296495629,2.25,0.0000000000000004134921072215979,0.000000000000000048938637324460766
0.00927734375,1.8972856366297228,2.375,0.000000000000000716116196359286,0.0000000000000010311269524952891
0.009765625,1.8862988391889328,2.5,0.7071067811865475,0.707106781186544
0.01025390625,1.8747715920540418,2.625,0.0000000000000002952679596279147,0.0000000000000005662695891568186
0.0107421875,1.8627073098520182,2.75,0.00000000000000007892217749290482,0.0000000000000004896513859129895
0.01123046875,1.850109566068538,2.875,0.0000000000000004926191488070391,0.00000000000000041661893011989793
0.01171875,1.8369820919581823,3,0.7071067811865476,0.7071067811865477
0.01220703125,1.8233287754065863,3.125,0.0000000000000007550224505165857,0.0000000000000007845511659544821
0.0126953125,1.8091536597448958,3.25,0.0000000000000003860832675252998,0.0000000000000008908888071302972
0.01318359375,1.7944609425169014,3.375,0.00000000000000026882865305745647,0.0000000000000004572746595769486
0.013671875,1.7792549741992338,3.5,0.00000000000000018796108865631003,0.00000000000000017588496987132395
0.01416015625,1.763540256875026,3.625,0.0000000000000001764153412091244,0.0000000000000003310857396162962
0.0146484375,1.7473214428614505,3.75,0.00000000000000014954108572925407,0.0000000000000004782822265582863
0.01513671875,1.7306033332915631,3.875,0.0000000000000001242335006430564,0.00000000000000026689985276847307
0.015625,1.7133908766509003,4,0.00000000000000010277930822996792,0.00000000000000012727378434493442
0.01611328125,1.6956891672692809,4.125,0.00000000000000008971490151477746,0.00000000000000012946245019199592
0.0166015625,1.6775034437682874,4.25,0.0000000000000000837406596889488,0.0000000000000002257561472003871
0.01708984375,1.6588390874649135,4.375,0.00000000000000007511960121865896,0.00000000000000033778729120479857
0.017578125,1.6397016207318715,4.5,0.00000000000000005923521883972568,0.00000000000000020550408521885456
0.01806640625,1.6200967053150779,4.625,0.00000000000000006422279410398208,0.00000000000000006227364210156934
0.0185546875,1.600030140608839,4.75,0.00000000000000005267589198310035,0.0000000000000002835335222895247
0.01904296875,1.579507861889276,4.875,0.0000000000000000517762693698513,0.00000000000000027409653744729417
0.01953125,1.5585359385065427,5,0.00000000000000002801340581796992,0.0000000000000001477020725148741
0.02001953125,1.5371205720364003,5.125,0.00000000000000004455167995043529,0.000000000000000418394212707402
0.0205078125,1.5152680943917236,5.25,0.00000000000000003968307597728177,0.00000000000000013951825019338609
0.02099609375,1.4929849658945353,5.375,0.00000000000000004377052107480544,0.0000000000000001772175486672547
0.021484375,1.4702777733091614,5.5,0.00000000000000003187342637342159,0.0000000000000004992798730431053
0.02197265625,1.4471532278371297,5.625,0.000000000000000030460449249090434,0.000000000000000025790571343967695
0.0224609375,1.4236181630744336,5.75,0.00000000000000003323918244096838,0.000000000000000249977826111296
0.02294921875,1.399679532931799,5.875,0.000000000000000026555317711856937,0.00000000000000018625523069136257
0.0234375,1.3753444095186045,6,0.000000000000000030455107956625047,0.00000000000000008728486626894269
0.02392578125,1.3506199809911168,6.125,0.00000000000000002737858173003612,0.00000000000000031507901047067447
0.0244140625,1.325513549365707,6.25,0.00000000000000002377280118766421,0.00000000000000014296431366311828
0.02490234375,1.30003252829774,6.375,0.000000000000000019021427761972304,0.000000000000000142447917189889
0.025390625,1.2741844408268181,6.5,0.000000000000000019664001205085877,0.00000000000000011467423353495745
0.02587890625,1.2479769170890953,6.625,0.000000000000000021912568062217064,0.00000000000000022066951210400867
0.0263671875,1.2214176919973625,6.75,0.000000000000000019558714102884774,0.0000000000000003067552056717016
0.02685546875,1.1945146028896398,6.875,0.00000000000000004006584207697043,0.00000000000000021193351122209188
0.02734375,1.1672755871469984,7,0.00000000000000001613823210881562,0.00000000000000013352602502527707
0.02783203125,1.1397086797813651,7.125,0.00000000000000002066362210625793,0.0000000000000002747270003813232
0.0283203125,1.11182201099405,7.25,0.000000000000000022415020398956212,0.000000000000000023158285020413712
